DATE,인플루엔자,입국,교통량,도시가스,구글검색량,감기가능지수,PM10
2005-01-01,3.822580645,93.6496,15.28,468,9,86.65,70
2005-02-01,2.771428571,91.6903,15.904,473,14,100,68
2005-03-01,3.774193548,87.0497,16.508,411,6,79.925,81
2005-04-01,5.413333333,87.6771,18.061,292,13,60.25,68
2005-05-01,2.648387097,88.511,18.123,169,0,51.825,71
2005-06-01,1.336666667,95.3108,17.876,115,0,30.325,66
2005-07-01,1.267741935,103.0586,17.744,95,8,29.925,54
2005-08-01,1.029032258,120.2189,18.782,86,4,29.925,35
2005-09-01,1.616666667,86.8277,18.147,90,9.5,38.75,36
2005-10-01,2.083870968,100.7005,18.229,130,64.5,63.35,61
2005-11-01,2.863333333,89.4834,18.023,236,46.5,79.925,65
2005-12-01,8.774193548,94.5779,15.368,414,15.5,100,54
2006-01-01,4.416129032,100.7103,16.967,2266,18,94.675,58
2006-02-01,1.557142857,97.8263,16.362,1936,12.5,99.6,44
2006-03-01,1.696774194,93.3785,17.655,1651,25,71.9,64
2006-04-01,4.983333333,92.8172,18.738,1218,12,41.975,83
2006-05-01,2.690322581,98.0322,19.01,745,5.5,41.575,57
2006-06-01,1.073333333,98.0733,18.344,492,12.5,30.325,66
2006-07-01,0.806451613,107.415,17.595,440,0,25,67
2006-08-01,0.558064516,127.5857,19.834,434,3.5,30.325,44
2006-09-01,1.206666667,105.1158,19.528,398,7.5,55.325,36
2006-10-01,1.996774194,117.6539,19.954,494,10,63.35,54
2006-11-01,2.246666667,110.8252,19.397,1030,24,75,68
2006-12-01,4.2,115.556,18.26,1752,21.5,99.2,48
2007-01-01,7.74516129,114.7333,16.103,2056,6.5,94.275,64
2007-02-01,2.982142857,118.8343,17.433,1873,3,79.525,65
2007-03-01,1.706451613,109.8541,17.364,1595,7,71.1,77
2007-04-01,3.443333333,104.5072,18.666,1290,1.5,54.925,106
2007-05-01,2.738709677,110.4724,18.778,747,6.5,46.5,63
2007-06-01,1.516666667,111.4764,18.363,503,3.5,30.325,69
2007-07-01,0.796774194,121.7975,18.151,415,3,25,33
2007-08-01,0.812903226,140.899,19.092,402,1.5,25,38
2007-09-01,1.4,109.8835,18.761,402,4,29.925,34
2007-10-01,1.574193548,114.623,18.775,602,5.5,68.275,58
2007-11-01,2.056666667,110.8004,18.685,1160,5,79.525,48
2007-12-01,4.632258065,114.5091,17.026,1787,7,74.2,61
2008-01-01,5.238709677,122.8625,15.418,2116,7,94.675,71
2008-02-01,7.544827586,119.9729,16.38,2100,4,94.675,82
2008-03-01,5.067741935,108.4061,16.715,1659,2,66.175,69
2008-04-01,2.916666667,103.6823,17.598,1065,13.5,59.85,76
2008-05-01,1.606451613,113.6998,17.919,666,22.5,46.5,85
2008-06-01,1.15,108.8767,16.598,519,7,29.925,46
2008-07-01,0.880645161,111.6635,16.703,432,3.5,25,55
2008-08-01,0.509677419,126.2849,17.941,384,1.5,29.925,30
2008-09-01,1,92.0706,17.42,392,3.5,51.025,34
2008-10-01,1.548387097,104.3117,17.415,537,6.5,59.45,44
2008-11-01,1.67,87.7628,17.288,1102,4,79.525,67
2008-12-01,8.409677419,90.4359,15.9,1789,3,90.775,71
2009-01-01,8.364516129,97.7473,15.633,2165,8,99.2,61
2009-02-01,1.492857143,96.7113,15.922,1783,3,90.775,62
2009-03-01,2.225806452,93.8112,16.637,1502,1.5,79.525,70
2009-04-01,7.54,92.7621,17.698,1080,34.5,59.85,73
2009-05-01,3.85483871,91.9222,18.005,671,28.5,51.425,61
2009-06-01,2.306666667,86.4206,17.371,439,11,34.85,45
2009-07-01,1.893548387,106.3438,17.208,405,4.5,25,41
2009-08-01,2.732258065,125.4955,18.708,390,41.5,29.925,31
2009-09-01,6.476666667,90.0923,17.816,367,63,38.35,42
2009-10-01,16.98387097,93.6287,18.193,525,41.5,54.925,62
2009-11-01,34.45333333,92.2472,17.41,1127,52.5,79.125,49
2009-12-01,15.54516129,103.4764,16.189,1878,17.5,90.775,61
2010-01-01,6.064516129,111.1742,12.856,2253,3.5,98.8,57
2010-02-01,3.825,109.7056,14.168,1902,5,90.775,81
2010-03-01,6.312903226,116.7017,14.182,1532,5,69.675,61
2010-04-01,16.86,109.3199,15.372,1247,12,54.925,65
2010-05-01,4.787096774,116.1425,15.677,761,3,51.025,57
2010-06-01,2.4,113.8548,15.043,429,1.5,34.85,50
2010-07-01,2.129032258,125.3729,15.331,356,3.5,25,41
2010-08-01,1.990322581,137.7555,15.955,303,4.5,25,31
2010-09-01,3.476666667,116.7092,15.828,285,10,51.025,39
2010-10-01,3.670967742,125.8828,15.832,549,17.5,79.125,50
2010-11-01,3.973333333,116.272,15.649,1082,7.5,74.6,47
2010-12-01,14.76774194,112.5161,13.787,1789,14.5,82.35,71
2011-01-01,12.47096774,125.1901,13.648,2006,14,94.275,59
2011-02-01,3.596428571,120.7099,14.707,1620,3,90.775,50
2011-03-01,2.558064516,112.1669,15.182,1354,4,79.525,61
2011-04-01,2.4,106.8436,16.183,956,2.5,54.925,49
2011-05-01,2.612903226,118.3916,16.535,560,2.5,46.9,56
2011-06-01,2.123333333,122.2611,16.185,317,2,46.1,51
2011-07-01,1.822580645,133.8784,15.963,254,1.5,29.925,33
2011-08-01,1.922580645,150.961,17.022,214,2.5,29.925,32
2011-09-01,2.883333333,118.4942,16.616,231,11.5,51.425,25
2011-10-01,2.922580645,130.7803,16.656,482,19.5,63.35,41
2011-11-01,2.866666667,117.1177,16.258,739,8,79.525,71
2011-12-01,3.483870968,122.4834,15.144,1391,4,94.275,61
2012-01-01,14.29354839,128.785,13.075,1782,12.5,94.275,44
2012-02-01,20.88275862,132.0527,12.889,1690,20,91.175,75
2012-03-01,16.29354839,128.7398,13.743,1356,18,74.6,65
2012-04-01,11.64666667,126.6391,14.555,918,11.5,51.425,56
2012-05-01,3.241935484,128.6893,15.219,446,2.5,46.5,79
2012-06-01,2.226666667,133.8083,14.82,267,2.5,35.25,44
2012-07-01,1.848387097,142.8172,14.563,221,2.5,29.925,28
2012-08-01,1.735483871,165.0712,14.803,180,2,34.85,27
2012-09-01,2.08,129.3855,15.325,231,9.5,41.175,29
2012-10-01,2.519354839,140.9652,15.097,433,24,59.85,42
2012-11-01,2.78,128.7135,14.744,928,6,74.6,37
2012-12-01,2.970967742,135.6872,12.379,1658,4,99.2,46
2013-01-01,6.203225806,142.9226,11.747,1910,22,99.2,60
2013-02-01,10.91428571,135.7521,12.6,1599,11.5,99.2,50
2013-03-01,8.680645161,144.5254,13.396,1258,7,71.1,47
2013-04-01,4.27,125.8128,13.801,942,10.5,46.5,51
2013-05-01,2.525806452,129.1798,14.489,565,3.5,51.425,52
2013-06-01,2.29,140.6189,14.251,282,2,29.925,40
2013-07-01,1.938709677,149.554,13.903,215,1.5,25,28
2013-08-01,1.925806452,172.8172,14.937,192,2,29.925,22
2013-09-01,7.096666667,144.0508,14.605,199,8,54.525,27
2013-10-01,7.738709677,148.1967,14.431,378,19.5,68.275,33
2013-11-01,9.596666667,135.5856,14.223,874,7.5,79.525,42
